campus,bldgno,bldgname,Year,Month,Day,Hour,cold,wash_cold
Tempe,57MF,Phys Sci Res Lab,2019,1,15,13,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,14,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,15,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,16,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,17,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,18,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,19,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,20,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,21,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,22,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,16,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,16,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,16,2,0.0,0.0
