0,1,2,time,week
413.45,71.76,23.53,2019-09-17 11:00:00,2
404.55,79.26,23.53,2019-09-17 12:00:00,2
416.07,86.06,20.59,2019-09-17 13:00:00,2
413.27,88.45,20.59,2019-09-17 14:00:00,2
401.08,93.49,29.41,2019-09-17 15:00:00,2
369.7,112.85,26.47,2019-09-17 16:00:00,2
360.12,122.78,20.59,2019-09-17 17:00:00,2
345.78,265.63,20.59,2019-09-17 18:00:00,2
328.83,817.29,23.53,2019-09-17 19:00:00,2
311.78,757.32,26.47,2019-09-17 20:00:00,2
301.25,687.89,29.41,2019-09-17 21:00:00,2
273.65,625.99,29.41,2019-09-17 22:00:00,2
265.57,608.35,26.47,2019-09-17 23:00:00,2
257.73,585.63,26.47,2019-09-18 00:00:00,3
258.82,560.25,23.53,2019-09-18 01:00:00,3
257.02,562.71,32.35,2019-09-18 02:00:00,3
255.57,542.08,32.35,2019-09-18 03:00:00,3
241.12,529.72,32.35,2019-09-18 04:00:00,3
240.15,529.89,32.35,2019-09-18 05:00:00,3
251.23,539.4,35.29,2019-09-18 06:00:00,3
287.28,613.87,32.35,2019-09-18 07:00:00,3
325.97,665.21,32.35,2019-09-18 08:00:00,3
350.27,471.3,26.47,2019-09-18 09:00:00,3
390.42,89.72,20.59,2019-09-18 10:00:00,3
414.3,73.66,17.65,2019-09-18 11:00:00,3
395.4,81.65,14.71,2019-09-18 12:00:00,3
383.85,86.73,11.76,2019-09-18 13:00:00,3
395.3,96.48,41.18,2019-09-18 14:00:00,3
387.82,115.81,23.53,2019-09-18 15:00:00,3
369.75,561.44,20.59,2019-09-18 16:00:00,3
357.12,820.14,11.76,2019-09-18 17:00:00,3
339.32,758.42,32.35,2019-09-18 18:00:00,3
314.92,700.81,20.59,2019-09-18 19:00:00,3
302.82,660.32,20.59,2019-09-18 20:00:00,3
291.57,627.11,23.53,2019-09-18 21:00:00,3
273.63,582.18,23.53,2019-09-18 22:00:00,3
260.85,545.07,32.35,2019-09-18 23:00:00,3
256.58,514.61,35.29,2019-09-19 00:00:00,4
256.45,486.2,29.41,2019-09-19 01:00:00,4
257.25,475.46,29.41,2019-09-19 02:00:00,4
249.97,359.58,29.41,2019-09-19 03:00:00,4
239.28,371.9,26.47,2019-09-19 04:00:00,4
243.0,366.16,26.47,2019-09-19 05:00:00,4
246.48,386.34,23.53,2019-09-19 06:00:00,4
289.07,429.54,14.71,2019-09-19 07:00:00,4
334.45,490.0,20.59,2019-09-19 08:00:00,4
360.78,614.37,17.65,2019-09-19 09:00:00,4
383.32,672.71,14.71,2019-09-19 10:00:00,4
399.28,303.38,14.71,2019-09-19 11:00:00,4
394.4,577.68,14.71,2019-09-19 12:00:00,4
394.55,418.87,11.76,2019-09-19 13:00:00,4
387.07,116.02,23.53,2019-09-19 14:00:00,4
366.45,797.75,17.65,2019-09-19 15:00:00,4
356.05,806.09,17.65,2019-09-19 16:00:00,4
345.07,828.03,17.65,2019-09-19 17:00:00,4
320.03,724.82,20.59,2019-09-19 18:00:00,4
302.57,656.02,17.65,2019-09-19 19:00:00,4
287.63,610.99,20.59,2019-09-19 20:00:00,4
278.35,584.82,23.53,2019-09-19 21:00:00,4
260.62,539.15,26.47,2019-09-19 22:00:00,4
249.72,516.48,29.41,2019-09-19 23:00:00,4
245.22,488.66,32.35,2019-09-20 00:00:00,5
249.67,474.65,32.35,2019-09-20 01:00:00,5
253.28,447.18,32.35,2019-09-20 02:00:00,5
255.87,447.01,29.41,2019-09-20 03:00:00,5
238.95,359.05,29.41,2019-09-20 04:00:00,5
240.83,316.58,26.47,2019-09-20 05:00:00,5
244.82,327.57,26.47,2019-09-20 06:00:00,5
277.67,404.47,23.53,2019-09-20 07:00:00,5
321.35,450.25,23.53,2019-09-20 08:00:00,5
349.3,528.98,20.59,2019-09-20 09:00:00,5
374.02,627.61,17.65,2019-09-20 10:00:00,5
378.32,664.79,14.71,2019-09-20 11:00:00,5
